epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,1.9895,26.30,2.1243,20.40,0.000012
5,1.5911,41.90,1.6198,40.70,0.000021
10,1.4017,49.20,1.3190,52.10,0.000046
15,1.2432,55.40,1.1010,60.70,0.000084
20,1.0822,61.30,0.9158,66.80,0.000131
25,0.9647,65.90,0.7559,72.80,0.000181
30,0.8671,69.30,0.6655,76.60,0.000228
35,0.7792,72.60,0.5672,80.10,0.000266
40,0.6941,75.80,0.5049,82.40,0.000291
45,0.6158,78.30,0.4452,84.60,0.000300
50,0.5540,80.70,0.3993,86.20,0.000298
55,0.4974,82.60,0.3706,87.50,0.000293
60,0.4538,84.20,0.3379,88.70,0.000285
65,0.4103,85.50,0.3224,89.30,0.000274
70,0.3628,87.10,0.3171,89.80,0.000260
75,0.3320,88.40,0.3053,90.20,0.000244
80,0.2984,89.60,0.2922,90.50,0.000225
85,0.2703,90.40,0.3034,90.50,0.000205
90,0.2421,91.40,0.2971,90.90,0.000183
95,0.2111,92.50,0.3047,91.00,0.000161
100,0.1912,93.30,0.2997,91.50,0.000139
105,0.1743,93.90,0.3083,91.50,0.000117
110,0.1488,94.80,0.3198,91.40,0.000095
115,0.1317,95.30,0.3224,91.70,0.000075
120,0.1162,96.00,0.3344,91.80,0.000056
125,0.1020,96.50,0.3443,91.80,0.000040
130,0.0951,96.70,0.3464,91.80,0.000026
135,0.0865,97.00,0.3547,91.80,0.000015
140,0.0824,97.10,0.3542,91.90,0.000007
145,0.0802,97.20,0.3573,91.80,0.000002
150,0.0781,97.30,0.3579,92.00,0.000000
